Mintopoly Money Airdrop (1,000,000 to top 400)
https://polygonscan.com/tx/0x715b0f291209c3de45ce0871b83d1dd060ae018078f27abd495d996b9efa17ec

Mintopolist Card (Top Place)
https://etherscan.io/tx/0x328ce443a3941c3e53b0fd3eafdf61439f763cd566bc7adea8700d185a0b20fd

Wall St. Banker for most combined rigs + nodes on msytery block (13,000 chosen)
https://etherscan.io/tx/0xb5b6b9b328c9f2b431e7a51338f48d60d2c2c600cfc5b9042d8a7b74de583ac3
https://etherscan.io/tx/0xc3167367e37594605e6d747bad70d5d930676c9b3d31f7c8dc17dda7367d8a62

TOKEN ALLOCATION
0x04333ea68D3884FacC46bB30c1E8017316c1394b : 2,840.69
0xeA928B6Ad1632Ca590C588d4fC9b8900fce65aDF : 2,762.75
0x4A1660202Da91bF7324cCe19f40dC717Ef259CF7 : 2,745.17
0x7CF5c60d31E7b6e8C924f37071B54112e3Ac8488 : 2,744
0x82b8b4d5E6419FfF1e63cCb0C2d8D8503643d279 : 2,690.68
0x799e74B8Be37B8DFE86b6132FdC52bFC3d46668d : 2,638.79
0xB48d45Bea78662e1C5E729c40162d0d71DC6b961 : 2,628.83
0x195dDE481D76440cf6Eb0a6f861413b0664f108B : 2,614.84
0x10992b978435f7DE7DfAfB90A2162129aF68A851 : 2,596.44
0x23036bb9A9E11AB928B58a5ba2BEb239474a3063 : 2,574.92
0xf50690a3690321F1E1e368E344953B72Ce140fEA : 2,574.65
0x2aab734fe6B32fc786341c26e06D156F4a3b0700 : 2,538.38
0x5ddF903808f8337B696e2373D28c7D0df46d02EF : 2,534.3
0xdb83356190283d29E60102E2b0bbED15664D6e66 : 2,521.65
0x6b5d44bd356af3f22A6D607d1CC2098F7e8B2B9a : 2,473.81
0x28014ACFea5BAD80f15F771334E08D8941C5c30a : 2,462.17
0x5884C481f1B94f272A8a50B2D710bc473dab6C3e : 2,429.17
0xd019764CaFEbDA320567c798bC5660566d0099a9 : 2,408.81
0xe6CB45b772ca33A7d70c1a48D3957f0Bd61D2251 : 2,394.97
0x979AAC5DBeeed98bdf84d8DeDA5AEC3188129a3B : 2,379.51
0xa55BD4b98354B2f9a7BEE174420B4b0F01F34030 : 2,372.79
0x4618c87Bf6f504DC27BAef206F6330031834a7Ea : 2,356.37
0x808bb1Eb7F31ff30797b6FBcc12EF163Ef4b3b36 : 2,336.33
0x10F8FBBB10fDA101Ba0664c7299b4c369E891131 : 2,322.27
0xF0B2D41d48439030ce8e0284B3F242121b85f2aA : 2,282.83
0xeacfeda9622E8538e910247F3967df5e6B177d95 : 2,262.14
0xA83B07BA91db714Fe789A29bD79723cC6882dc3A : 2,207.87
0x9A0939FfAC7e64AB2FFBEd6Af5a09032ADa52728 : 2,171.46
0xdE32E6D7CB67098612e15418CF4d20C53194556e : 2,165.59
0xA1AdB8F8fd85eF9eE1c8a92cFE0823af850b01e3 : 2,153.59
0x840373D882bd4F674FFe49e1D3e511C2739431bc : 2,133.05
0xCDC4f93f5c6e4564FF04847DB049481e2F1B559d : 2,100.65
0xed88BdE7F2164f240d65145BBDc05449CF17205E : 2,017.15
0x632094245ce290E5808634E5DE3072881cb03648 : 2,008.35
0xF0737CbCa62778CC9e63Fbc31BA7d364bC36298b : 1,997.83
0x5fc427F7c5C1a106b391331cfC7E65433f9235d6 : 1,996.29
0xd98C9123De3f80A3CE73161796019D91dbe1EFeD : 1,991.91
0x5f4fc62aF45B7ECC257Ec78329fB92a956B10583 : 1,984.92
0x062A1E80365aebFCC8DAf93D59F4eB9a8Cb64086 : 1,969.48
0x1528C6c78b880f1E57F7126693709AECbb1B21a1 : 1,937.39
0x165273d26CD19A4428c318652E04E9943b236cCD : 1,935.43
0x367FaB98632A0b4402Fd931aFfF6ba57A20E0c42 : 1,924.37
0x1231A62E820036A5Db2341Df1D9eC7fC5FaF17fE : 1,918.64
0xc42Bd8870b3C21f7496185bfB420046A53921f57 : 1,904.19
0x68c25c032cD2EF330936c6BA85aEe35EfaDA1965 : 1,903.77
0x25D311fcb8Fe7016b657bADF38D207C550E9552a : 1,903.18
0x5dBdBa70714fe9048a6c09D0B313e098441c1596 : 1,843.22
0x6726d208bA943B20933491FF004AA7188b70ae79 : 1,813.6
0xD93E502Ea14A5618Db5452D2b20ac1d243846b64 : 1,781.38
0xdFBF24037730A3Eca52a45CeFC224610a9E8FE6D : 1,754.75
0x6023ad153509919C9118252192B7D102Db14725b : 1,752.66
0x2050156936B124404Eacc786cEe293681c3Fe6e7 : 1,745.56
0x0a1C6AA52B5f94082B583ea6030274071411d27e : 1,744.26
0xc350074E658ca8731dC9b2bB720A660BFb01DCc9 : 1,735.22
0x22386b4Ddb9f0836d35dE8Ad0D263f22d054d9A6 : 1,728.69
0x236BB1E0BE86539DdbB258a6574320a587d6d334 : 1,669.52
0xe57a3eE5Bd76bDE506969045f793fe40cCB6B0A8 : 1,649.57
0x4c510f2e09709B4206aBA75caeCdF1cE2cfDDa68 : 1,639.71
0xf7065d52e4D25A9b12232e23E8159c130Ec3f6db : 1,608.28
0x0E61f7D439dBe31A803Fad9347b0c75306b05DeD : 1,606.28
