MINTOPOLY MONEY AIRDROP (250,000 to top 150)
https://polygonscan.com/tx/0x4d224809a6a3440179572324e05aae9456cbabe7386c93392baf645c25174a24

Moon Base (Top Place)
https://polygonscan.com/tx/0x5894627a41ae0e1974139f7f54dccbd81380d054e854196696bae5ceac4265ae

Crystal Ball NFT (Most Oracles with 1 Hard Fork)
https://etherscan.io/tx/0xa694be7a418bab6bb1a82613ce4d958d845e1bcd1fcd5edfdea149cd7cb22256
https://etherscan.io/tx/0x7d0d4fd98e05a71d09faf640cb2fec0bd24c501fce60fd5b541d762dbf95e76e
https://etherscan.io/tx/0x54369cf99b202fc9ab4dbf1098511784ffb27279742a7e646f0a4836052c3e4d

TOKEN DISTRIBUTION
0x4A1660202Da91bF7324cCe19f40dC717Ef259CF7 : 869.5
0xBDe33b7Eab4fdBB1C8f9b75e23b914d65E683A34 : 866.1
0xd89078000e820B42693714dE25e6C59695Dbc651 : 864.67
0xb3AEF5e10899FD6CD6CC7C4276dB1E7f2360607B : 862.55
0xB05822Ce685C60bA71B16d9E0ab9f7Aa57cA0bbD : 859.03
0xeA928B6Ad1632Ca590C588d4fC9b8900fce65aDF : 856.82
0x854a9d08dFCDb1A851C78d4A99C9DAa72329D767 : 840.7
0x4d34b40AD545d135De020FE23dB67bf388703bDE : 826.63
0x601CC830c38c4b93551E66909ABB07f012Ce0ddF : 817.92
0x979AAC5DBeeed98bdf84d8DeDA5AEC3188129a3B : 815.28
0x82b8b4d5E6419FfF1e63cCb0C2d8D8503643d279 : 813.25
0xbAe1a49A356a99CFF39306eE76A47B159A342fb8 : 812.76
0xe4447DF097C0550bC60B162FFD595fb357DB4163 : 804.45
0xF0B2D41d48439030ce8e0284B3F242121b85f2aA : 795.25
0x195dDE481D76440cf6Eb0a6f861413b0664f108B : 778.53
0xe624acf53be0dA1c6e134b1Ce4200C2DF2E80F72 : 773.69
0x6cC9553e48E82332B6178A1EcEB0bcFE5cba9E44 : 756.61
0xeA4F3A01367BcFc0CA922B728fa36d4C17d8bA90 : 754.64
0xA1D211133Ef184c8E8E12fb287948862625120F1 : 749.27
0x36595db21f4Fcd3742e5771358a543b2bEEd869b : 745.84
0x5A5736B81f4045Be18Bf595dF4acdaB550575036 : 745.65
0x3C885ad808fF12F4b40c7E98Ce79b54F5Be23e60 : 741.35
0x1D81394060b166044E3D068F615368B5B54D8a8E : 738.03
0xAC5fD2634220078910eB868566c6E0ff3B56fe8F : 737.57
0x419CdE295fF18A1ec9cb5e9b781215480FC0d099 : 727.43
0x62bE88bc032F6a01e67575327CbEFdC2d8a1ca70 : 723.03
0x8894D002b2362B9C3B74aA9e2109A8B49Af7EeF6 : 713.95
0x4f4181E585D135242FAfA45dC21066a2C882613c : 696.08
