MINTOPOLY MONEY AIRDROP (250,000 to top 150)
https://polygonscan.com/tx/0x30207d3d849c379d4472355c4aed6ada51f9ce77284e14e5e21cb90b9a0631a9

Moon Base (Top Place)
https://polygonscan.com/tx/0x66a4579b0aba4fb791d6a56627287d1c45060d93104a7b04a20d7c0b2330a161

Dapp NFT (Finishers in places 50, 75, 100)
https://etherscan.io/tx/0xd266e5c535c211b5121a3802e267d5d8ab59f789b2be9e05772c05c675d428e2
https://etherscan.io/tx/0xebc81c5e99ee78f94791c9c6d62209e00ddc76b7befea94fd8db765cafe238d9
https://etherscan.io/tx/0x56fe94b06fa4be2e4da1b6e6a148924267783e4c11ea4f45ae226a7e2b35c05c

TOKEN DISTRIBUTION
0xD5afc23604FE43F1164D0866e5963D8058B9A49D : 1,270.45
0x487DBdb932b100a126bAfDd15a0A71bAF5673057 : 1,213.66
0xd89078000e820B42693714dE25e6C59695Dbc651 : 1,201.12
0xbd7Bb450bd5E70eA3AEf176108FfeBAd082d3bA3 : 1,132.38
0x8C69b1ED40A78600d48d26e51Aa5b801b50cc87D : 1,107.51
0x98edEe1C13B73f26494eA1a4C998B560c1737cCf : 1,076.09
0x70764c1bf11Fd313a3405f41be822Df34d569e48 : 1,043.08
0x41C1f182b6809dfF6BE7036721A108d188458D99 : 1,042.34
0x9f2A325581f26cc0Ef573Dee3AA797f05Ad8CaBc : 1,037.53
0xdb5BcC1054d39280Ddc7a1657bdDeA06560CBa80 : 993.35
0x17D9C051F87C4A685dB7F84B54b78d61Ec474090 : 978.78
0x3C885ad808fF12F4b40c7E98Ce79b54F5Be23e60 : 974.26
0xCb2D99FF0fCAB296D46c5C2401ac7b7208A6F56C : 972.74
0x245Ab426A39Ab67E7969aCFcbCC6C93180Fa6e2b : 962.64
0x82588bED33DBcd8EEc164F6E85cf24C898237bb7 : 944.16
0x298F0c8AF5CCb5530DfD3cd1c9AfF36b5659042d : 943.67
0xC7EB2ac4D418184B7aE3E86D539189ABAe01336b : 935.48
0x514Dee18909448674b3e7DEee105dF94d4c42D64 : 931.73
0x1BA2a0236acF49016DA56Ab63CC139802f7aC033 : 920.8
0xed88BdE7F2164f240d65145BBDc05449CF17205E : 894.56
0xe40e35c3698Dd0e9dE38bd60bC230CFA36D51C02 : 889.98
0x9c1619bd49e11B8E7c5c867e2400483b6B178EBc : 883.8
0xC62313D150A7821f4cEe07589b461e2B318B8af7 : 875.98
0x9F70CD9441bE2f599f1851e10e14238e0E641806 : 872.29
0x723077f800BB9937AFf6e86f9CaB5AfAC424DaE1 : 870.86
0xaCAe03CDbc0aF96A43F97dFD40E5EaeB0Ebf2E2F : 850.09
0x3FEEceb51da9b73571b21036AEd0868aA20Fb91b : 824.89
0x6E403564d6b3aD4E69Fb350759901Fe2Eb68075D : 804.45
0x7f93410CC1E6Ebb22357845D490dF00BCD5BB1Ec : 771.63
0x685269f0262BA5Ac81EbaB85245cCA51E18299C1 : 770.66
0x0DaA9d16c4e201857f9F0B34e198e14Fe874Ca72 : 769.18
0xFBC1035559aF2676EFe400B1B13A2d306143556c : 767.67
0xFada42d241C9a4dF5a4149B4969aF9EBcDffE3dc : 760.76
0x2345ce86d9c9CAb4068197F88Ff8022Bd29C4C0d : 717.84
0x52Fa3C236C9643236c30ca05B41bB6D960472057 : 715.58
0x6E298A37f937666dc6A24A900B5AcD1E359094Fd : 683.88
0x5f42c691D1eDFdD615C25e0a68E2d421278AB807 : 680.05
0x4bB3d079Bee82C055cE4984bFd6F73998ab47600 : 673.63
0x43bEAAf55b402A7b59b8d2696eC040Fd09f6c001 : 644.63
0x162D0641c7bb640A28714DF7327cAbF48E78e12C : 638.16
0xA7588Ea51002E3db265698FBBBB663d7CD1EecC0 : 584.43
0xE7dcF2B7bb30C638c67c3C2A6f3bb18335570B92 : 577.29
0x14bD27b63D25d6D315d15F0069Ba6d3DFD496384 : 548.75
0x9B33AdFa30D6bf19f213047D5DDA69a5C5229C51 : 533.75
0x45aBFA39DF1bDD36Ffe21E879036474C886a499b : 526.35
0xd691Bf2cAB87d05cEd8d3a7748b796Ea96AcbE51 : 517.96
0xE7930Af801B8c1126Dc8251EDBb3536509E8011D : 515.88
0x647A02F63e85cBDaA33406B71E548eA5D25409C7 : 500.46
0xB8559f1dbE2673d9f54f55631223a14444B1a0c6 : 490.57
0x82b8b4d5E6419FfF1e63cCb0C2d8D8503643d279 : 489.99
0x634334d0258e8F79304A2Ac7F7d5e149b558e0c4 : 478.03
0x9BDe0C23a1B18E41fC86a2BB495e9bC0235DcFB8 : 473.2
0x21B96812C00F81f66ae1293f68D762a20935326d : 464.4
0x4f4181E585D135242FAfA45dC21066a2C882613c : 454.97
0xaE736cf201481d202fFe2F6DC779DB75061aaBc9 : 431.94
