Mintopoly Money Airdrop (1,000,000 to top 200)
https://polygonscan.com/tx/0x5f23bfb8b27098c42d8a8c0694dcbcfa92e756e359db758d0d647f10da70fcf4

Mintopolist Card (Top Place)
https://etherscan.io/tx/0x01f8ebb2c00200607b05f3cc135ffc5525b4701e816773c26c951a2d6302ef46

Closest to m100,000 without going over (Smart Contract Bonus)


TOKEN ALLOCATION
0x3D2949b055d5362423235307821d68832539Ec25 : 2,122.51
0x75D9a0906c93DeEFd1cB66111938d9c0c6942358 : 2,102.31
0xbc090920C7eF2C89aB786B38E1cd7902d36019A3 : 2,093
0x541D847B9276b5c78836313e2699BD5684615F5E : 2,043.5
0x2cAA7C37d4978336b73d04Cf3bC2EBD1BA61C405 : 2,023.63
0x6ac91B62c20C51A5A6F7aC68502332419b0244c7 : 2,021.36
0x9111b7aD6422f63f9C6329EF7D23345fb94880Da : 2,014.52
0x9896583c36Cd73Cc961A1Aba9483E6E24870E778 : 1,998.66
0x54B7F6f8146f8cb35cF2c46130231e53E5bA8c46 : 1,989.73
0xF4341FA6DB8b2Be521F281Dc7d572AC4EA329576 : 1,974.36
0x7642dc342ca0688e292cea973383D94Ea94FA3A2 : 1,968.87
0x15333fa99945Eb2eB1b1f6847f2bD23cBe553946 : 1,968.7
0x1bfa46f5Cd5841b3A0820132febf54B57FfF2Ea8 : 1,955.81
0xc42Bd8870b3C21f7496185bfB420046A53921f57 : 1,949.55
0x74c1a59D9eeA9cbcD144b08d04C797403623e277 : 1,929.08
0x9e1EA9a3D5fC5e85f6F7d0A202BFCc3e3FBaeDc5 : 1,921.95
0x370c21D45bA51B0C816a5D6255836837AcB0d1A4 : 1,916.87
0xF3d254FBc7193D165671dE64cc4020E0AEbD4827 : 1,912.9
0x7c32046a23ca7e670940AF3B5228B036643e297F : 1,912.55
0xEBDc925697A571F96f81E808E0493103743Acd17 : 1,890.41
0x40670Fb44D79A7B66f57633Df57DEF52B27531d1 : 1,889.08
0x5e6c6f6b4922B52b52489e6A5aE2991071F046B0 : 1,887.79
0xA723998494dfFEc686180D55e297ffCC1CeFD922 : 1,834.89
0x048c912cd15E1283927c992252A98A818b4c5279 : 1,827.09
0x82b8b4d5E6419FfF1e63cCb0C2d8D8503643d279 : 1,822.39
0xf93AE855FE2147b1036F2091Db2d2abf2708EE68 : 1,812.39
0x8B4987BE32783960a2926c38cBCA94Bd1B075d74 : 1,812.2
0x8524C6e7333ABcc5b8701bAb17999aE7e624bA51 : 1,803.46
0x2fC89cD8deaC088Fdc8BDAF6C37cDca8d2720503 : 1,782.14
0x3Ed828Fe58e117A88D28685BaAED468b1C9dECAe : 1,755.89
0x3262b41197fbC347C1aA99A33045d132653A136f : 1,746.63
0x950BB7dD76a80b1eE8ceF01bE1198379A4b94793 : 1,745.55
0x2c3cA23Fd8CccDCdd08B92Eb8B7d6587683D3856 : 1,738.87
0xdE4a4eDd8782c86217b446df3CFe0110013ebEeb : 1,733.08
0x2DbA441E2d1EB9AeaAD82ef53C86F943500f9D7C : 1,712.06
0x37CfD77A9450C2b2D804B6C946B050e4698afb49 : 1,684.26
0xa031a0a13878498a4D04DB5EecDC09E2fC1ec6Ba : 1,679.02
0xe92CF170B5fD263781d8930Fb080a09826023d08 : 1,671.39
0x40733aa60D1Fe570cF9E505C129fCbE66053421E : 1,669.64
0x4CB451D8dc90ba92b84c2B1B7953B05A8A494918 : 1,651.28
0xa975c9933612a10dE179ddd602ce2b02DBa6be05 : 1,636.27
0x49D6BB39dB9D8D69562625D9222F22B1622547a6 : 1,634.87
0x6B9896DE21EA4bB8ab5C00Fe168C07C5626f9c12 : 1,627.7
0x5651DB607e1F712B13642f760F22A3F3d0545ef5 : 1,622.96
0x331E4D195ef59E7F15eC6eAe7a219EA966Aa29c8 : 1,614.08
0xf2A0CAff6479Ad87fA69d4554caa0B322dc6F4F2 : 1,612.72
0xAcF1705b2baFf3D6b4eeA4ec640057BA7329d9aC : 1,608.27
0x3Fff5E86242e85715532F150f2e8C62ee83b814c : 1,608.04
0x7c18cED919a94b41f6ff8bf9d8F74FFbB9DF4Ba1 : 1,607.44
0x3Ac2c976868658022cAA826c2c8efC2AdeAd6a8B : 1,590.56
0x840373D882bd4F674FFe49e1D3e511C2739431bc : 1,556.77
0xF17B0161B59Fc15F60184b60d1a28FCf4f18127A : 1,554.05
0x385696bB48c2C74aEEEBF0A91Cef017E691f90B8 : 1,550.54
0xc49584AB9053F5328170FDb5E27D99DFbB51724A : 1,535.43
0x30C087d9B94CABEe5f6aa9bA06F8319EC3629229 : 1,519.99
0x2A9AAb181f00B1C69fA90E3B80B0640B6c7DFe81 : 1,505.62
0x74F25afE6133296aB9F6C1025F249bBd3B8a772D : 1,500.05
0x2c0f25c1b1a62f0b5dE3Acd37dEF48188C405689 : 1,495.18
0x2212F4b7b332497F708bD6fe5FacdD87BC929922 : 1,488.68
0xA4061C63480A9E81c4c9535c9b6BB5b7251C3970 : 1,462.94
0x4F7A6178eCeCDaE7a91e16F50326608a3B515D0F : 1,452.61
0x4519e3dBdD9B780c82167AA1a4aa8607f47511e4 : 1,451.6
0xB15216b66A9bB83eF50FCBB71Bdb6de7486abE79 : 1,440.86
0x853D54E4CbD6Af4CF1A796552c16faFA8f8C4DC1 : 1,422.26
0x24656d1bEdb1F28Df68DCCeC816993fea2897D44 : 1,412.4
0xd1fc0c3Daa2FeD6f2faC5F0cED2879CBF3fb7f8e : 1,407.91
0x23A326e29b0A6e016aB828C3Ec440Bed0BE29f01 : 1,383.62
0xCe5DF3472A45ed12d8Df93d5cc2cD3c7745e5b05 : 1,382.13
0x2E642515418E70A35D1442667860Ec4752370d83 : 1,376.37
0x927420f63C3DFF6D51293E4659F2a0411abdCc0F : 1,363.3
0x19E05B120712113923Bdb0655457b211A752b4E0 : 1,359.14
0xce3901c8d422Ff4036Cea394FF01219F18076281 : 1,344.51
0xd1E1352760f5256703EE892dA89EF8431EDf2647 : 1,342.66
0x45F9C188a212168F8e450597702D0182d0328A9e : 1,339.92
0xDEf1c7CB98479d369fbc0d55819762Ab5B25A585 : 1,335.1
0xEbFe112dcB1400B27cff1Bda6dA91e9Bf0beE0Ce : 1,324.52
0xBC6A05cdc93e9a4D85254CEcC4564b297A606EF6 : 1,324.3
0x23E2f3C97536363f49a24735F032db65A13d087C : 1,311.99
0x1847dc050A3680770E63C4284f3be75453eDAbeB : 1,304.49
0x62c3D8b13cCC14E1b8e3665C27d3963645D6A726 : 1,303.86
0xb3dea6040051DD6d018973c7879f370932b764F1 : 1,300.14
0x25102AFB1713047573043D45E2bc21CE345cC5D7 : 1,294.54
0x6dD0737B59E0c574C475Ba6A6aef61DC6121AdCC : 1,286.5
0x2afFdB3d476E8556224D37996490E8d8b8b8c3Fd : 1,276.47
0xd9A0912d3a4E117f83FA96106993E85e7aBB93C2 : 1,258.64
0x383400A62eFcBB53cFCf61CDaFF1046A77ADFf65 : 1,245.3
0x2cE34a9b3e1e223041916629b0Cf9C988377a888 : 1,241.22
0x9192bA465945B23492855E31F989C48b59Ef3284 : 1,241.18
0x9090edB6b58F71AF47151C96ea17150b7D61BF99 : 1,240.39
0xb9b14932f9dfa4481F54985bCE43624eD544C084 : 1,234.19
0x1c0b6d7353BaA7B7215fC9B8DB9C3768c81fD905 : 1,208.4
0x711c688b87EA95606D3041e8e42F67f24604D087 : 1,202.67
0x64D8E328B2b3784cCBb882C4136872c9ed01B521 : 1,199.72
0x0B49b0d815066D9a0a2210e6E690f7b61D469Bf9 : 1,185.27
0xd05F4D6A11761dDAf3BCe64eccE0f3F6f21CfD9D : 1,182.2
0xb3AEF5e10899FD6CD6CC7C4276dB1E7f2360607B : 1,181.15
0x998c1335899C3814054363Aa950B06A04Aa69631 : 1,177.44
0x67F7986D081314b2439d6882570558C13480AD1C : 1,137.04
0x5b351FD1a9Ac70994DD0Cd54ac2759Aa09B4C2c5 : 1,109.76
0x81D70f48fbCc59E7B30A5cAd7f2f35220A1Ec937 : 1,102.49
0x789F197fbE10E81e986583392ce50071a8789BA8 : 1,100.26
0xB8372E9caE970AE3036CE56B28E8C1C33a1e0f28 : 1,099.4
0xb828812ba9cdB61790dC4238C386294640FA9989 : 1,097.32
0x80cC12a0B5f73155A546b08a7606B65C9667B689 : 1,085.2
0x0F384287ba68ef147f68BabBF8E478C841D91c49 : 1,074.18
0x63F4846C75a9BF42E3cc037119A3Bba326f7A633 : 1,068.17
0x0C795668a289CFC537cfA6a47e8F7ED5d1C5369C : 1,067.25
0x276F18495e5aa9445b252e8dd9724B57De0b463c : 1,066.75
0xf45A5dd86a8F51259Dd925B2200C87d768C89034 : 1,066.5
0x386D5518238cF6b3f5341A8551D40Cbd7Bd52f14 : 1,057.79
0x6B124Babe527c753192B7eB636B78AfAd3b92666 : 1,055.14
0xc1d4E833bC7272F7b81d8d423F48891AE07E634E : 1,053.86
0x88E194EC87fC72717e7bA435F229b946e87e9D6E : 1,053.69
0x4dfb5a29155EDA9F196f93Bb4C64854030e97178 : 1,053.41
0x398Fb078B21a27f65794006941A61e0A4a6Ad6Ba : 1,049.79
0x3085F3Ed44D82F397997814B191137882266dB43 : 1,048.76
0x72fd69539005096bC30269FEABDD02193Ef91d45 : 1,044.5
0xa195eacea34bb3B6441a91825aCa24D31134BA47 : 1,032.71
0xE146e2Bf8c129b5095947C939B8cF36815029eAF : 1,027.27
0xDE47E96cD5f1a037a041CBCD425895D5635e5246 : 1,017.95
0x95B32Fd78D4fC50f1fee9ebcADD3537Aa94Ab94E : 1,014.72
0x9a2A818a5fe978E4424c3Ef023DB1845993d4Df2 : 1,005.56
0x0bbc7D7a9f3c55F1044874e462D1891b2b560113 : 989.8
0x1A519018a441945e844e59e21fB6DAEf935eb5ED : 966.29
0x74F24aD7A9a4c23b84EF518f211fc42aBF144342 : 965.95
0x64e4736c58724Eb7c7e2681Dd46b40bEb5C9d482 : 964.91
0x13482B3080D0EFF689054A65f0A869B3EA4d3654 : 960.9
0xe261Bf9755096Af48E7902E47B63210c3D5FeC48 : 959.14
0x49D4F1f13C5BC916139D8eB83EaAE90163C86643 : 949.91
0x8894D002b2362B9C3B74aA9e2109A8B49Af7EeF6 : 949.65
0xB164fe52D066ECFa1Bda8932DEDE5cE843860E3F : 934.33
0x94575c5c57e816B8490Aa09f7C790d37750858cB : 929.63
0x9d356a7777F04E605948169DA6d919fE44D8A05c : 929.04
0xC6782C4da30A7839c0A3b7b480D0798b9B7daEB3 : 927.58
0x47A6f3870623e6b68Dd802ec7886696512bc7F79 : 919.3
0x031487AFd4FEF4f64953EDb7d734c66779898A8E : 907.16
0x44219fe02d93955299eACc9D59E36FAb4D8B87be : 901.21
0xe9f5C60F967a11cf639C625f53D4fBCC8989C52E : 892.09
0x86f82Ab02b681bBcaB3f23F9a51f156C2d298732 : 882.12
0x0C93929360FF8b46a46c2dE1C8eDeA9541B78eB3 : 853.04
0x3ED487142D8e1bF34F366280D0DAB50758cB613e : 849.07
0x5A8E85B11e596bC3f7799b0a1e2fB54A8126FAdb : 848.33
0x754cBE4e020254A46280CBB4131D578e161Eb0DA : 846.17
0x61c1F85EFbf97763DBCd59f01417a70339e93215 : 843.76
0xF5984d7704478FA79d5669348a22524550b17845 : 839.48
0xD24ba5990094f262CD3d4090D94B284d30B1C5dD : 834.04
0xc1D098B555171dA0c2A0e5E6Ad9D5c309dc3155a : 829.06
0x2597aF316204ccCC8eC7cBa57fe99aE1d9D81Fb7 : 824.08
0x138a9f4015F8dF55348B7FE460c0Ac2478A08eAe : 818.78
0x9894d3E483221A5E269aE62A560643E66b2937E1 : 815.95
0x9e3534A2922E290485eD1Fb22c60F7155b218C2b : 809.98
0x4e8ccC708CE4920a02939e221D66b123c48db6E8 : 807.4
