Mintopoly Money Airdrop (1,000,000 to top 400)
https://polygonscan.com/tx/0xed25e9589fca2a704b8a43a0bb619576245ebf8a0eeb58397ec0e7142bf38045

Mintopolist Card (Top Place)
https://etherscan.io/tx/0x2911e50ee298b9a977016d1e31e545340932d8f080bbcc5587e1cdbfd7b93771

Yield Farm Card (2x players with most total investments owned - all players & those with 2 cards or less)
https://etherscan.io/tx/0xdd52417c2dd4340d514f9f03a1a151be6f85af55e521e8dbf8f6dcf94df5f0fb
https://etherscan.io/tx/0x60ea9e253f649424c765d53e1c7a1152260294a7c9fa3c6c031e493d73c686d9

TOKEN ALLOCATION
0xEbFe112dcB1400B27cff1Bda6dA91e9Bf0beE0Ce : 2000
0xf01f34CbabC95bCB2855bf6feDE018EAf0471aCD : 2000
0x9F858135e4AB06d6ef068D779DF1C4784598c33F : 2000
0xDf6cf97176Bb832120Ba2eedA3D625Ab8448F8A7 : 2000
0xeacfeda9622E8538e910247F3967df5e6B177d95 : 2000
0xB648A452D4c329fDeB1f8f302e7Ae1a11ad0e420 : 2000
0x6C0f61Eee29242cFF1C89adCC279C83563dA828e : 2000
0x1108fE546560982de6FBB2300b2F343e6aAEA5F6 : 2000
0xe57a3eE5Bd76bDE506969045f793fe40cCB6B0A8 : 2000
0x41C1f182b6809dfF6BE7036721A108d188458D99 : 2000
0x4618c87Bf6f504DC27BAef206F6330031834a7Ea : 2000
0x84f3219e5Ea03f25661D67A58672789bA1f5B5Fe : 2000
0x21B96812C00F81f66ae1293f68D762a20935326d : 2000
0x22386b4Ddb9f0836d35dE8Ad0D263f22d054d9A6 : 2000
0x632094245ce290E5808634E5DE3072881cb03648 : 2000
0x1698b923E300842536Ea0bFCc6dF593b354Fad54 : 2000
0x01daf2Dc0646014Fd6878c1420a7c489ef06714f : 2000
0xa1aC1754a6b0411618299d95bbB44Ac70a09e746 : 2000
0x696452fd17A21b7A750D6f24b4807B94387464b3 : 2000
0x62bE88bc032F6a01e67575327CbEFdC2d8a1ca70 : 2000
0x8Bf8B0a3C6457B15Fc01491B9091c496D83BBbE3 : 2000
0xc51A3F86c1B55ff825341C416e31AA82457681Da : 2000
0xC9Ca98b597b742c28156cFbC079D99FFBEe6ad44 : 2000
0x1bbb1aA86681446Da5692d6D90E4DA7474bA7Ed9 : 2000
0xf50690a3690321F1E1e368E344953B72Ce140fEA : 2000
0x4F7A6178eCeCDaE7a91e16F50326608a3B515D0F : 2000
0x9c70b1FFA4Af3B701856d31208F9ebAdd20454d5 : 2000
0xc350074E658ca8731dC9b2bB720A660BFb01DCc9 : 2000
0x544Af9083a56820eA0D5bBe8304d462098a506EA : 2000
0xc983740668b1406B05F1c809808B154a8FDaC836 : 2000
0x4c510f2e09709B4206aBA75caeCdF1cE2cfDDa68 : 2000
0xd98C9123De3f80A3CE73161796019D91dbe1EFeD : 2000
0xb828812ba9cdB61790dC4238C386294640FA9989 : 2000
0xc829D3ED131ce84147f427820f4081B39e9AF4fA : 2000
