MINTOPOLY MONEY AIRDROP (250,000 to top 150)
https://polygonscan.com/tx/0xa4fddc00d72532f1b6d48c98d02bad1d5e976fc1a49f4f050b8695ab0a01155c

Moon Base (Top Place)
https://polygonscan.com/tx/0x66a4579b0aba4fb791d6a56627287d1c45060d93104a7b04a20d7c0b2330a161

Yield Farm NFT (Highest Net Worth as a Palindrome)
https://etherscan.io/tx/0xf5810da804892f385d6a284150dc09ce873584cf3d0bf8b2b5fb741ce2431bef
https://etherscan.io/tx/0x05cbfa60810140dd3057d892732dbc8321741d08f19cbd3c91eda83d71a72f58
https://etherscan.io/tx/0xd42e37d116adbcb1a632fe3843da5e345f97a9259e365b46c705229d29652901

TOKEN DISTRIBUTION
0x9c1619bd49e11B8E7c5c867e2400483b6B178EBc : 1,013.31
0xdD74f3E0a6A497c21cC5dD8810f69c5299dA8517 : 986.31
0x98edEe1C13B73f26494eA1a4C998B560c1737cCf : 967.1
0x162D0641c7bb640A28714DF7327cAbF48E78e12C : 961.49
0xbAe1a49A356a99CFF39306eE76A47B159A342fb8 : 958.86
0x52Fa3C236C9643236c30ca05B41bB6D960472057 : 947.82
0x40B3c634330bBb0f53864CF3a08aC70F3bF93F22 : 887.16
0xe40e35c3698Dd0e9dE38bd60bC230CFA36D51C02 : 869.28
0x840373D882bd4F674FFe49e1D3e511C2739431bc : 841.48
0x8BC67b73f40342158Af4016155B23dAD361dc575 : 798.51
0x4A1660202Da91bF7324cCe19f40dC717Ef259CF7 : 774
0xB8559f1dbE2673d9f54f55631223a14444B1a0c6 : 770.91
0x3C885ad808fF12F4b40c7E98Ce79b54F5Be23e60 : 761.82
0xbB2211E2b4971BD7483bB340A03B19Fb7Db3b5a1 : 760.1
0x6E403564d6b3aD4E69Fb350759901Fe2Eb68075D : 725.76
0x47F4D5475D2652A8889550d3A49Cc9bCeF8C14E4 : 724.11
0xaE736cf201481d202fFe2F6DC779DB75061aaBc9 : 677.13
0x696452fd17A21b7A750D6f24b4807B94387464b3 : 675.22
0x195dDE481D76440cf6Eb0a6f861413b0664f108B : 667.01
0x95DFc6eCFE5556428f1DcC5a3EfE99617beC2D1A : 635.2
0xFada42d241C9a4dF5a4149B4969aF9EBcDffE3dc : 610.66
